,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Imbituba,BR,-28.24,-48.6703,67.08,85,68,2.62,broken clouds
166,Port Hardy,CA,50.6996,-127.4199,59.18,82,75,6.91,light intensity shower rain
167,Ekhabi,RU,53.5102,142.9671,64.72,83,100,11.01,overcast clouds
168,Ayame,CI,5.6083,-3.1563,73.51,94,100,5.46,overcast clouds
169,Krasnoselkup,RU,65.7,82.4667,62.74,79,100,7.74,overcast clouds
170,Cururupu,BR,-1.8283,-44.8683,82.11,70,1,5.21,clear sky
171,Aksarka,RU,66.5606,67.7975,64.98,91,100,11.48,overcast clouds
172,Samarai,PG,-10.6167,150.6667,79.9,79,88,7.25,overcast clouds
173,Isiro,CD,2.7739,27.616,70.48,72,86,0.6,overcast clouds
174,Lakitelek,HU,46.876,19.995,75.13,56,0,16.11,clear sky
175,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,99,17.16,light rain
176,Galesong,ID,-5.3166,119.3661,75.22,86,61,7.67,broken clouds
177,Fergus Falls,US,46.283,-96.0776,80.58,60,40,5.75,scattered clouds
178,Trat,TH,12.5,102.5,80.91,97,100,5.26,moderate rain
179,Grand Gaube,MU,-20.0064,57.6608,68.4,76,76,5.99,broken clouds
180,Mount Isa,AU,-20.7333,139.5,49.77,62,0,10.36,clear sky
181,Esperance,AU,-33.8667,121.9,55.9,64,5,20.2,clear sky
182,Okhotsk,RU,59.3833,143.3,59.65,81,100,7.9,overcast clouds
183,Chiari,IT,45.5359,9.9304,82.31,42,0,7.49,clear sky
184,East London,ZA,-33.0153,27.9116,62.29,45,0,8.5,clear sky
185,Fort Saint James,CA,54.4333,-124.25,68.16,38,63,7.81,broken clouds
186,Kuala Terengganu,MY,5.3302,103.1408,73.35,100,20,3.44,moderate rain
187,Mercedes,AR,-34.6515,-59.4307,55.94,32,100,13.4,overcast clouds
188,Rio Gallegos,AR,-51.6226,-69.2181,33.85,75,75,8.05,broken clouds
189,Tibati,CM,6.4667,12.6333,67.73,95,100,3.67,overcast clouds
190,Provideniya,RU,64.3833,-173.3,53.37,79,47,3.24,scattered clouds
191,Touba,CI,8.2833,-7.6833,72.23,94,95,2.77,moderate rain
192,Antalaha,MG,-14.9003,50.2788,67.8,85,35,10.4,scattered clouds
193,Naujamiestis,LT,55.6869,24.1523,58.39,96,87,9.26,overcast clouds
194,Taltal,CL,-25.4,-70.4833,62.6,68,72,2.48,broken clouds
195,Fort Nelson,CA,58.8053,-122.7002,69.39,68,75,8.05,broken clouds
196,Mukhen,RU,48.1,136.1,70.3,97,92,2.84,overcast clouds
197,Te Anau,NZ,-45.4167,167.7167,42.51,97,100,7.29,overcast clouds
198,Asau,RO,46.4333,26.4,63.52,72,88,6.26,overcast clouds
199,Ponta Do Sol,PT,32.6667,-17.1,75.7,87,5,3.47,clear sky
200,Kutoarjo,ID,-7.7169,109.9128,70.88,88,7,4.65,clear sky
201,Touros,BR,-5.1989,-35.4608,76.23,87,25,15.35,light rain
202,Saint-Francois,FR,46.4154,3.9054,74.64,41,0,10.36,clear sky
203,Narsaq,GL,60.9167,-46.05,55.62,61,100,3.62,overcast clouds
204,Lorengau,PG,-2.0226,147.2712,77.76,89,100,16.53,heavy intensity rain
205,Teya,RU,60.3778,92.6267,56.79,75,100,2.44,overcast clouds
206,Ulagan,RU,50.6321,87.9563,46.76,95,38,1.97,scattered clouds
207,Viedma,AR,-40.8135,-62.9967,58.14,18,56,21.16,broken clouds
208,Murmashi,RU,68.8154,32.8115,55.81,100,40,6.71,scattered clouds
